site,transect,survey1,survey2,survey3,survey4,survey5,survey6,precip1,precip2,precip3,precip4,precip5,precip6,Lat,Long,tpi_100,solar,twi_10,elev,Slope,Aspect,temp1,temp2,temp3,temp4,temp5,temp6,RH1,RH2,RH3,RH4,RH5,RH6,rain1,rain2,rain3,rain4,rain5,rain6,veg1,veg2,veg3,veg4,veg5,veg6,ground1,ground2,ground3,ground4,ground5,ground6,trail,day1,day2,day3,day4,day5,day6,canopy,litdepth,gcover,DCON1,DCON2,DCON3,DCON4,DCON5,DCON6,DIMI1,DIMI2,DIMI3,DIMI4,DIMI5,DIMI6,DMON1,DMON2,DMON3,DMON4,DMON5,DMON6,DOCO1,DOCO2,DOCO3,DOCO4,DOCO5,DOCO6,DQUA1,DQUA2,DQUA3,DQUA4,DQUA5,DQUA6,DSAN1,DSAN2,DSAN3,DSAN4,DSAN5,DSAN6,DWRI1,DWRI2,DWRI3,DWRI4,DWRI5,DWRI6,EWIL1,EWIL2,EWIL3,EWIL4,EWIL5,EWIL6,GPOR1,GPOR2,GPOR3,GPOR4,GPOR5,GPOR6,NVIR1,NVIR2,NVIR3,NVIR4,NVIR5,NVIR6,PGLU1,PGLU2,PGLU3,PGLU4,PGLU5,PGLU6,PJOR1,PJOR2,PJOR3,PJOR4,PJOR5,PJOR6,PSER1,PSER2,PSER3,PSER4,PSER5,PSER6,PTEY1,PTEY2,PTEY3,PTEY4,PTEY5,PTEY6
1,1-1,0,0,0,0,0,NA,2.428296328,1.599223852,17.5364418,3.324089766,4.982352734,NA,35.50273300000,-83.29822800000,-0.49468994141,0,-2.87114787102,608.45794677700,4.28704786301,242.53874206500,20,18.5,21.4,20,22.4,NA,88.3,83.9,87.8,87.6,96,NA,0,0,0,0,2,NA,1,0,1,1,2,NA,1,0,1,1,2,NA,0,41076,41078,41102,41105,41109,NA,91.94441867,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1-2,0,0,0,0,0,NA,2.417320251,1.599223852,17.5364418,3.324089766,4.982352734,NA,35.50257800000,-83.29805400000,-0.04364013672,0,-7.23165273666,608.94580078100,6.15462827682,248.17051696800,20,18.5,21.4,20,22.4,NA,88.3,83.9,87.8,87.6,96,NA,0,0,0,0,2,NA,1,0,1,1,2,NA,1,0,1,1,2,NA,0,41076,41078,41102,41105,41109,NA,92.70831,7.4,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1-3,0,0,0,0,0,NA,2.389784575,1.599223852,17.5364418,3.324089766,4.982352734,NA,35.50252500000,-83.29952400000,-5.78027343750,181,-7.38256883621,610.72137451200,11.96861076350,85.42336273190,20,18.5,21.4,20,22.4,NA,88.3,83.9,87.8,87.6,96,NA,0,0,0,0,2,NA,1,0,1,1,2,NA,1,1,1,1,2,NA,0,41076,41078,41102,41105,41109,NA,92.77775467,15.6,56.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1-4,0,0,0,0,0,NA,2.389895678,1.599223852,17.5364418,3.324089766,4.982352734,NA,35.50277000000,-83.29966200000,-5.71051025391,179,-8.58714008331,617.01617431600,28.54004478450,86.17880249020,20,18.5,21.4,20,22.4,NA,88.3,83.9,87.8,87.6,96,NA,0,0,0,0,2,NA,1,0,1,1,2,NA,1,1,1,1,2,NA,0,41076,41078,41102,41105,41109,NA,91.73608467,19,43.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1-5,0,0,0,0,0,NA,4.414315224,1.599223852,17.5364418,3.324089766,4.982352734,NA,35.50255900000,-83.29951900000,-5.78027343750,181,-7.38256883621,610.72137451200,11.96861076350,85.42336273190,20,18.5,21.4,20,22.4,NA,88.3,83.9,87.8,87.6,96,NA,0,0,0,0,2,NA,1,1,1,1,2,NA,1,1,1,1,2,NA,0,41076,41078,41102,41105,41109,NA,88.88885333,25.8,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1-6,0,0,0,0,0,NA,4.414315224,1.599223852,17.5364418,3.324089766,4.982352734,NA,35.50276900000,-83.29956700000,-6.22332763672,176,-8.04691219330,613.02484130900,20.49295616150,89.39111328130,20,18.5,21.4,20,22.4,NA,88.3,83.9,87.8,87.6,96,NA,0,0,0,0,2,NA,1,1,1,1,2,NA,1,1,1,1,2,NA,0,41076,41078,41102,41105,41109,NA,90.76385933,22.2,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10-1,21,18,54,46,61,NA,0,1.922417521,17.3118515,9.395624161,6.062053204,NA,35.59259100000,-83.38460100000,0.80249023438,135,-4.67850494385,1019.19934082000,13.75054645540,108.58528137200,16.3,17.2,17.6,19.6,20.2,NA,93.4,87,91.3,92.1,80.4,NA,0,0,0,0,0,NA,0,0,1,1,1,NA,0,0,1,1,1,NA,0,41075,41078,41101,41104,41108,NA,92.01386333,26.6,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,14,9,2,0,2,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,18,54,46,61,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10-2,28,13,45,29,61,NA,0,1.922417521,17.3118515,9.395624161,6.062053204,NA,35.59265900000,-83.38456300000,3.00164794922,171,-9.33852291107,1019.60565186000,14.59949398040,86.78143310550,16.3,17.2,17.6,19.6,20.2,NA,93.4,87,91.3,92.1,80.4,NA,0,0,0,0,0,NA,0,0,1,1,1,NA,0,0,1,1,1,NA,0,41075,41078,41101,41104,41108,NA,92.56942067,35.4,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,17,4,0,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,13,45,29,61,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10-3,21,11,41,51,53,NA,0,1.922417521,17.3118515,9.395624161,6.062053204,NA,35.59272900000,-83.38451600000,3.87158203125,186,-9.28500556946,1016.99621582000,16.04016113280,69.57105255130,16.3,17.2,17.6,19.6,20.2,NA,93.4,87,91.3,92.1,80.4,NA,0,0,0,0,0,NA,0,0,1,1,1,NA,0,0,1,1,1,NA,0,41075,41078,41101,41104,41108,NA,93.19442267,32,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13,6,27,0,1,0,9,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,11,41,51,53,0,0,0,0,0,0,0,0,0,1,0,0,0
10,10-4,30,NA,NA,NA,NA,NA,0,1.922417521,17.3118515,9.395624161,6.062053204,NA,35.59272800000,-83.38447000000,3.87158203125,186,-9.28500556946,1016.99621582000,16.04016113280,69.57105255130,16.3,NA,NA,NA,NA,NA,93.4,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,41075,NA,NA,NA,NA,NA,92.916644,30.4,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
