"min.elev","max.elev"
"DCON",678.219970703,678.219970703
"DIMI",678.219970703,2013.7388916
"DOCO",677.906616211,2021.89465332
"DMON",677.906616211,1566.24401855
"DQUA",1499.13684082,1717.08203125
"DSAN",678.219970703,1892.84411621
"DWRI",671.217468262,2021.89465332
"EWIL",446.569213867,2020.41589355
"GPOR",1056.9786377,2020.77416992
"NVIR",665.587036133,665.587036133
"PGLU",669.698181152,1168.26477051
"PJOR",678.219970703,2021.89465332
"PSER",654.323486328,842.796264648
"PTEY",671.217468262,1382.03100586
